kingdom	family	species1	species2
Animalia	Buccinidae	Austrofusus fontainei (d'Orbigny, 1841)	Aeneator fontainei (d'Orbigny, 1839)
Animalia  Salticidae  Cosmophasis bitaeniata (Keyserling, 1882) Pellenes bitaeniata (Keyserling, 1882)
